2023-03-25 21:27:02,691 INFO    MainThread:16752 [wandb_setup.py:_flush():76] Configure stats pid to 16752
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_setup.py:_flush():76] Loading settings from C:\Users\yukinwo\.config\wandb\settings
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_setup.py:_flush():76] Loading settings from C:\GitData\yolov7\wandb\settings
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'yolov7\\train.py', 'program': 'C:\\GitData\\yolov7\\train.py'}
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_init.py:_log_setup():506] Logging user logs to C:\GitData\yolov7\wandb\offline-run-20230325_212702-lxk6wpab\logs\debug.log
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_init.py:_log_setup():507] Logging internal logs to C:\GitData\yolov7\wandb\offline-run-20230325_212702-lxk6wpab\logs\debug-internal.log
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_init.py:init():546] calling init triggers
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'weights': 'yolov7.pt', 'cfg': './cfg/training/yolov7.yaml', 'data': './data/coco.yaml', 'hyp': {'lr0': 0.01, 'lrf': 0.1, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.3, 'cls_pw': 1.0, 'obj': 0.7, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.2, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0, 'paste_in': 0.0, 'loss_ota': 1}, 'epochs': 100, 'batch_size': 16, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 8, 'project': 'runs/train', 'entity': None, 'name': 'run', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'freeze': [0], 'v5_metric': False, 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs\\train\\run5', 'total_batch_size': 16}
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_init.py:init():602] starting backend
2023-03-25 21:27:02,692 INFO    MainThread:16752 [wandb_init.py:init():606] setting up manager
2023-03-25 21:27:02,695 INFO    MainThread:16752 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-25 21:27:02,698 INFO    MainThread:16752 [wandb_init.py:init():613] backend started and connected
2023-03-25 21:27:02,700 INFO    MainThread:16752 [wandb_init.py:init():701] updated telemetry
2023-03-25 21:27:02,834 INFO    MainThread:16752 [wandb_init.py:init():789] starting run threads in backend
2023-03-25 21:27:16,120 INFO    MainThread:16752 [wandb_run.py:_console_start():2114] atexit reg
2023-03-25 21:27:16,120 INFO    MainThread:16752 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-25 21:27:16,120 INFO    MainThread:16752 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-25 21:27:16,120 INFO    MainThread:16752 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-25 21:27:16,120 INFO    MainThread:16752 [wandb_init.py:init():831] run started, returning control to user process
